序号,出发地,抵达地,航班号,航空公司,飞机号,起步价,载客量,头等舱,商务舱,经济舱,起飞机场,降落机场,月,日,星期,时,分,抵达时,抵达分
2781,昆明,北京,MU5715,东方航空,B737,1586,159,0,1,114,长水机场,首都机场,10,29,2,21,5,0,30
2782,昆明,北京,MU5715,东方航空,B737,1813,159,0,2,88,长水机场,首都机场,4,21,2,21,5,0,35
2783,昆明,北京,MU5718,东方航空,B737,2039,159,0,4,74,长水机场,首都机场,2,3,1,21,10,0,30
2784,昆明,长沙,KY8277,昆明航空,B737,781,159,0,5,15,长水机场,黄花机场,8,29,4,8,20,10,20
2785,昆明,长沙,DZ6313,东海航空,B737,1451,159,0,3,73,长水机场,黄花机场,1,30,3,9,45,12,0
2786,昆明,长沙,DZ6313,东海航空,B737,1562,159,0,8,98,长水机场,黄花机场,5,3,5,9,50,12,0
2787,昆明,长沙,DZ6313,东海航空,B737,1339,159,0,4,110,长水机场,黄花机场,10,1,2,9,55,12,0
2788,昆明,长沙,KY8263,昆明航空,B737,1004,159,0,12,117,长水机场,黄花机场,12,16,6,10,0,12,5
2789,昆明,长沙,KY8329,昆明航空,B737,1674,159,0,12,44,长水机场,黄花机场,11,2,0,10,0,12,5
2790,昆明,长沙,FM9398,上海航空,B737,893,159,0,12,134,长水机场,黄花机场,6,25,3,16,5,18,15
2791,昆明,长沙,BK2798,奥凯航空,B737,1004,159,0,2,71,长水机场,黄花机场,6,7,0,18,15,20,20
2792,昆明,长沙,BK2812,奥凯航空,B737,893,159,0,3,51,长水机场,黄花机场,4,12,4,19,5,21,20
2793,昆明,长沙,BK2812,奥凯航空,B737,1674,159,0,4,17,长水机场,黄花机场,1,27,6,19,5,21,20
2794,昆明,长沙,MU2706,东方航空,A320,1116,158,0,5,36,长水机场,黄花机场,2,20,5,20,40,22,45
2795,昆明,长沙,CZ3468,南方航空,A320,1116,158,0,3,128,长水机场,黄花机场,1,24,2,22,30,0,35
2796,昆明,长沙,CZ3468,南方航空,A320,1339,158,0,8,23,长水机场,黄花机场,3,21,3,22,30,0,35
2797,昆明,长沙,MF1306,厦门航空,A320,1451,158,0,3,80,长水机场,黄花机场,1,26,0,22,30,0,35
2798,昆明,长沙,MF1306,厦门航空,A320,1004,158,0,2,104,长水机场,黄花机场,10,8,2,22,30,0,35
2799,昆明,长沙,MU3229,东方航空,A320,1004,158,0,4,48,长水机场,黄花机场,6,3,4,22,30,0,35
2800,昆明,长沙,MU3229,东方航空,A320,1339,158,0,5,16,长水机场,黄花机场,4,13,3,22,30,0,35
2801,昆明,成都,DR6521,瑞丽航空,B737,670,159,0,8,29,长水机场,双流机场,6,24,4,6,55,8,40
2802,昆明,成都,3U8669,四川航空,A320,1116,158,0,4,100,长水机场,双流机场,7,9,4,7,20,9,0
2803,昆明,成都,3U8669,四川航空,A320,670,158,0,2,141,长水机场,双流机场,2,23,2,7,25,9,10
2804,昆明,成都,3U5040,四川航空,B737,818,159,0,11,41,长水机场,双流机场,3,4,6,7,55,9,25
2805,昆明,成都,3U5040,四川航空,B737,967,159,0,3,24,长水机场,双流机场,10,26,5,7,55,9,25
2806,昆明,成都,BA2301,英国航空,B737,818,159,0,9,52,长水机场,双流机场,8,20,6,7,55,9,25
2807,昆明,成都,CZ9590,南方航空,B737,744,159,0,4,128,长水机场,双流机场,1,11,1,7,55,9,25
2808,昆明,成都,CZ9590,南方航空,B737,893,159,0,11,56,长水机场,双流机场,4,9,0,7,55,9,25
2809,昆明,成都,MF3111,厦门航空,B737,967,159,0,9,71,长水机场,双流机场,9,6,5,7,55,9,25
2810,昆明,成都,MF3111,厦门航空,B737,595,159,0,11,96,长水机场,双流机场,2,20,5,7,55,9,25
2811,昆明,成都,MU5841,东方航空,B737,893,159,0,12,91,长水机场,双流机场,4,29,1,7,55,9,25
2812,昆明,成都,MU5841,东方航空,B737,1116,159,0,6,57,长水机场,双流机场,9,25,0,7,55,9,25
2813,昆明,成都,KY8321,昆明航空,B737,521,159,0,10,144,长水机场,双流机场,11,24,6,8,25,9,55
2814,昆明,成都,CA4418,中国国航,A320,967,158,0,5,65,长水机场,双流机场,11,13,3,8,50,10,20
2815,昆明,成都,3U5042,四川航空,B737,521,159,0,2,77,长水机场,双流机场,1,13,6,9,0,10,35
2816,昆明,成都,3U5042,四川航空,B737,521,159,0,1,15,长水机场,双流机场,9,23,2,9,0,10,35
2817,昆明,成都,CZ9592,南方航空,B737,818,159,0,7,133,长水机场,双流机场,5,19,3,9,0,10,35
2818,昆明,成都,CZ9592,南方航空,B737,670,159,0,6,72,长水机场,双流机场,4,16,0,9,0,10,35
2819,昆明,成都,MF3113,厦门航空,B737,967,159,0,4,40,长水机场,双流机场,3,15,2,9,0,10,35
2820,昆明,成都,MF3113,厦门航空,B737,670,159,0,5,113,长水机场,双流机场,6,10,4,9,0,10,35
2821,昆明,成都,MU5843,东方航空,B737,1042,159,0,7,12,长水机场,双流机场,3,11,6,9,0,10,35
2822,昆明,成都,MU5843,东方航空,B737,967,159,0,11,67,长水机场,双流机场,12,23,6,9,0,10,35
2823,昆明,成都,MU2496,东方航空,B737,744,159,0,1,69,长水机场,双流机场,9,27,5,10,10,11,40
2824,昆明,成都,MU2496,东方航空,B737,1116,159,0,8,145,长水机场,双流机场,7,5,1,10,10,11,45
2825,昆明,成都,MU2496,东方航空,B737,1042,159,0,3,76,长水机场,双流机场,11,4,5,10,25,12,0
2826,昆明,成都,3U5044,四川航空,B737,818,159,0,11,147,长水机场,双流机场,2,4,0,10,45,12,25
2827,昆明,成都,CZ9594,南方航空,B737,744,159,0,7,66,长水机场,双流机场,1,2,3,10,45,12,25
2828,昆明,成都,MF3115,厦门航空,B737,1042,159,0,5,130,长水机场,双流机场,1,12,0,10,45,12,25
2829,昆明,成都,MU5845,东方航空,B737,967,159,0,5,141,长水机场,双流机场,1,17,2,10,45,12,25
2830,昆明,成都,CA4414,中国国航,A320,521,158,0,1,145,长水机场,双流机场,9,15,3,13,55,15,30
2831,昆明,成都,KY4414,昆明航空,A320,1116,158,0,6,44,长水机场,双流机场,8,24,2,13,55,15,30
2832,昆明,成都,TV6314,西藏航空,A320,670,158,0,6,140,长水机场,双流机场,5,28,1,13,55,15,30
2833,昆明,成都,ZH4414,深圳航空,A320,521,158,0,5,26,长水机场,双流机场,1,26,0,13,55,15,30
2834,昆明,成都,3U5046,四川航空,B737,893,159,0,1,26,长水机场,双流机场,6,5,2,16,10,17,45
2835,昆明,成都,CZ9598,南方航空,B737,521,159,0,6,28,长水机场,双流机场,12,29,0,16,10,17,45
2836,昆明,成都,MF3119,厦门航空,B737,967,159,0,12,128,长水机场,双流机场,10,11,6,16,10,17,45
2837,昆明,成都,MU5849,东方航空,B737,893,159,0,11,58,长水机场,双流机场,8,13,6,16,10,17,45
2838,昆明,成都,CA416,中国国航,A319,670,124,0,0,71,长水机场,双流机场,5,29,0,17,20,18,55
2839,昆明,成都,CA416,中国国航,A319,1116,124,0,6,13,长水机场,双流机场,3,1,2,17,20,19,0
2840,昆明,成都,CA4460,中国国航,A320,967,158,0,4,103,长水机场,双流机场,1,8,4,18,25,20,10
2841,昆明,成都,KY4460,昆明航空,A320,521,158,0,6,111,长水机场,双流机场,12,15,0,18,25,20,10
2842,昆明,成都,TV6460,西藏航空,A320,670,158,0,1,75,长水机场,双流机场,10,8,2,18,25,20,10
2843,昆明,成都,ZH4460,深圳航空,A320,1116,158,0,5,114,长水机场,双流机场,5,1,0,18,25,20,10
2844,昆明,重庆,8L9863,祥鹏航空,JET,974,20,0,0,14,长水机场,江北机场,10,6,4,6,55,8,30
2845,昆明,重庆,KY8295,昆明航空,B737,649,159,0,1,132,长水机场,江北机场,9,29,3,7,5,8,40
2846,昆明,重庆,KY8261,昆明航空,B737,649,159,0,7,23,长水机场,江北机场,12,12,3,7,10,8,45
2847,昆明,重庆,DR6531,瑞丽航空,B737,844,159,0,12,132,长水机场,江北机场,12,24,5,7,30,9,0
2848,昆明,重庆,3U8553,四川航空,A320,974,158,0,8,51,长水机场,江北机场,6,1,6,8,5,9,35
2849,昆明,重庆,G56506,华夏航空,A320,779,158,0,7,25,长水机场,江北机场,9,10,1,8,5,9,35
2850,昆明,重庆,MU2996,东方航空,A320,714,158,0,8,38,长水机场,江北机场,6,10,4,8,10,9,40
2851,昆明,重庆,PN6228,西部航空,A320,584,158,0,0,112,长水机场,江北机场,1,14,5,9,15,10,45
2852,昆明,重庆,PN6228,西部航空,A320,974,158,0,3,111,长水机场,江北机场,1,29,4,9,15,10,55
2853,昆明,重庆,CZ8128,南方航空,A320,454,158,0,8,66,长水机场,江北机场,2,19,6,9,55,11,35
2854,昆明,重庆,CA5721,中国国航,B737,974,159,0,11,59,长水机场,江北机场,2,15,3,10,45,12,20
2855,昆明,重庆,KY8221,昆明航空,B737,714,159,0,10,63,长水机场,江北机场,10,31,0,10,45,12,20
2856,昆明,重庆,ZH3121,深圳航空,B737,779,159,0,12,97,长水机场,江北机场,3,7,3,10,45,12,20
2857,昆明,重庆,3U8967,四川航空,A319,909,124,0,2,56,长水机场,江北机场,1,6,6,13,0,14,45
2858,昆明,重庆,G56513,华夏航空,A319,844,124,0,7,95,长水机场,江北机场,6,13,1,13,0,14,45
2859,昆明,重庆,SC3013,山东航空,A319,584,124,0,5,72,长水机场,江北机场,1,22,4,13,0,14,45
2860,昆明,重庆,3U8967,四川航空,A319,584,124,0,0,107,长水机场,江北机场,10,25,6,13,5,14,45
2861,昆明,重庆,G56513,华夏航空,A319,519,124,0,2,46,长水机场,江北机场,1,2,3,13,5,14,45
2862,昆明,重庆,SC3013,山东航空,A319,909,124,0,3,51,长水机场,江北机场,3,3,0,13,5,14,45
2863,昆明,重庆,MU2976,东方航空,A320,844,158,0,0,138,长水机场,江北机场,5,8,0,14,25,16,5
2864,昆明,重庆,CZ6460,南方航空,A321,844,177,0,9,69,长水机场,江北机场,5,5,3,15,45,17,20
2865,昆明,重庆,G55125,华夏航空,A321,974,177,0,8,9,长水机场,江北机场,8,15,4,15,45,17,20
2866,昆明,重庆,MF4103,厦门航空,A321,909,177,0,9,94,长水机场,江北机场,11,28,2,15,45,17,20
2867,昆明,重庆,CZ6404,南方航空,A321,649,177,0,2,156,长水机场,江北机场,4,11,5,17,45,19,20
2868,昆明,重庆,G55107,华夏航空,A321,974,177,0,15,108,长水机场,江北机场,2,15,3,17,45,19,20
2869,昆明,重庆,MF4053,厦门航空,A321,714,177,0,4,102,长水机场,江北机场,3,3,0,17,45,19,20
2870,昆明,重庆,MU2986,东方航空,A320,649,158,0,2,35,长水机场,江北机场,12,26,3,20,10,21,55
2871,昆明,重庆,MU2986,东方航空,A320,519,158,0,5,107,长水机场,江北机场,9,1,3,20,15,21,55
2872,昆明,重庆,CZ8158,南方航空,A320,584,158,0,7,92,长水机场,江北机场,4,1,1,21,55,23,35
2873,昆明,重庆,CZ8158,南方航空,A320,844,158,0,3,86,长水机场,江北机场,11,2,0,21,55,23,35
2874,昆明,重庆,G55198,华夏航空,A320,649,158,0,0,70,长水机场,江北机场,2,10,1,21,55,23,35
2875,昆明,重庆,G55198,华夏航空,A320,909,158,0,1,38,长水机场,江北机场,2,20,5,21,55,23,35
2876,昆明,重庆,OQ2358,重庆航空,A320,909,158,0,0,61,长水机场,江北机场,6,24,4,21,55,23,35
2877,昆明,重庆,OQ2358,重庆航空,A320,454,158,0,2,97,长水机场,江北机场,3,13,4,21,55,23,35
2878,昆明,重庆,PN6216,西部航空,A320,779,158,0,3,19,长水机场,江北机场,6,27,1,23,50,1,30
2879,昆明,大连,CZ6426,南方航空,A320,2597,158,0,4,103,长水机场,周水子机场,4,27,3,7,55,13,10
2880,昆明,大连,MU5799,东方航空,B737,3116,159,0,10,28,长水机场,周水子机场,2,15,3,9,10,14,15
2881,昆明,大连,8L9891,祥鹏航空,B737,2078,159,0,12,53,长水机场,周水子机场,6,20,1,10,55,16,20
2882,昆明,大连,8L9891,祥鹏航空,B737,2078,159,0,5,39,长水机场,周水子机场,7,23,4,10,55,16,20
2883,昆明,大连,3U8967,四川航空,A319,1818,124,0,4,28,长水机场,周水子机场,10,8,2,13,0,18,55
2884,昆明,大连,G56513,华夏航空,A319,3896,124,0,0,13,长水机场,周水子机场,11,9,0,13,0,18,55
2885,昆明,大连,SC3013,山东航空,A319,3636,124,0,3,68,长水机场,周水子机场,7,6,0,13,0,18,55
2886,昆明,大连,3U8967,四川航空,A319,2078,124,0,5,40,长水机场,周水子机场,1,11,1,13,5,18,55
2887,昆明,大连,G56513,华夏航空,A319,2337,124,0,8,95,长水机场,周水子机场,4,18,5,13,5,18,55
2888,昆明,大连,SC3013,山东航空,A319,3896,124,0,2,110,长水机场,周水子机场,7,15,5,13,5,18,55
2889,昆明,大连,CZ6428,南方航空,A321,3896,177,0,7,1,长水机场,周水子机场,5,3,5,15,15,20,50
2890,昆明,福州,3U4072,四川航空,B737,2939,159,0,12,146,长水机场,长乐机场,12,17,5,7,50,11,30
2891,昆明,福州,CZ5376,南方航空,B737,2155,159,0,7,17,长水机场,长乐机场,12,10,5,7,50,11,30
2892,昆明,福州,MF8476,厦门航空,B737,1371,159,0,10,69,长水机场,长乐机场,1,29,4,7,50,11,30
2893,昆明,福州,MU8556,东方航空,B737,2155,159,0,5,117,长水机场,长乐机场,12,3,5,7,50,11,30
2894,昆明,福州,NS8476,河北航空,B737,1371,159,0,9,53,长水机场,长乐机场,11,21,2,7,50,11,30
2895,昆明,福州,3U4068,四川航空,B737,1763,159,0,12,8,长水机场,长乐机场,6,1,6,12,20,15,10
2896,昆明,福州,CZ5330,南方航空,B737,2155,159,0,0,42,长水机场,长乐机场,8,24,2,12,20,15,10
2897,昆明,福州,MF8428,厦门航空,B737,2939,159,0,12,113,长水机场,长乐机场,4,19,4,12,20,15,10
2898,昆明,福州,MU8554,东方航空,B737,1567,159,0,4,29,长水机场,长乐机场,2,22,3,12,20,15,10
2899,昆明,福州,NS8428,河北航空,B737,1763,159,0,8,111,长水机场,长乐机场,5,3,5,12,20,15,10
2900,昆明,福州,8L9881,祥鹏航空,B737,2155,159,0,3,9,长水机场,长乐机场,11,7,2,15,10,19,25
2901,昆明,广州,CZ3420,南方航空,B737,2036,159,0,10,62,长水机场,白云机场,4,24,6,7,50,9,55
2902,昆明,广州,QF3634,澳洲航空,A320,1086,158,0,1,141,长水机场,白云机场,2,28,4,7,50,9,55
2903,昆明,广州,QF3634,澳洲航空,A320,1086,158,0,0,149,长水机场,白云机场,7,13,0,7,50,9,55
2904,昆明,广州,MU5731,东方航空,B737,950,159,0,4,69,长水机场,白云机场,3,29,2,8,0,10,10
2905,昆明,广州,MU5739,东方航空,B737,1900,159,0,9,91,长水机场,白云机场,6,26,2,11,0,13,10
2906,昆明,广州,ZH9452,深圳航空,A320,1086,158,0,5,82,长水机场,白云机场,1,13,6,12,25,14,35
2907,昆明,广州,CZ3482,南方航空,A319,1628,124,0,4,88,长水机场,白云机场,6,16,5,14,40,16,45
2908,昆明,广州,CZ3416,南方航空,B737,1357,159,0,2,49,长水机场,白云机场,1,26,0,15,20,17,30
2909,昆明,广州,MF1260,厦门航空,B737,2036,159,0,2,85,长水机场,白云机场,1,9,3,15,20,17,30
2910,昆明,广州,MU3205,东方航空,B737,1357,159,0,1,19,长水机场,白云机场,7,17,3,15,20,17,30
2911,昆明,广州,CZ9548,南方航空,JET,1086,20,0,0,18,长水机场,白云机场,1,18,1,15,40,17,50
2912,昆明,广州,MF3093,厦门航空,JET,2036,20,0,0,14,长水机场,白云机场,5,15,0,15,40,17,50
2913,昆明,广州,MU5737,东方航空,JET,1086,20,0,0,3,长水机场,白云机场,2,19,6,15,40,17,50
2914,昆明,广州,3U8205,四川航空,A320,950,158,0,1,135,长水机场,白云机场,6,16,5,17,5,19,10
2915,昆明,广州,CZ3408,南方航空,B737,1900,159,0,8,135,长水机场,白云机场,3,8,2,17,25,19,30
2916,昆明,广州,QF3636,澳洲航空,B737,1900,159,0,10,51,长水机场,白云机场,10,12,5,17,25,19,30
2917,昆明,广州,CZ3450,南方航空,A320,1221,158,0,6,111,长水机场,白云机场,2,2,2,18,40,20,50
2918,昆明,广州,ZH9454,深圳航空,A320,1628,158,0,4,13,长水机场,白云机场,2,22,3,19,10,21,15
2919,昆明,广州,CZ3488,南方航空,A320,2036,158,0,1,13,长水机场,白云机场,10,7,3,20,20,22,25
2920,昆明,广州,MU5733,东方航空,B737,1493,159,0,9,32,长水机场,白云机场,6,6,1,22,15,0,20
2921,昆明,广州,CZ3490,南方航空,JET,950,20,0,0,0,长水机场,白云机场,2,4,0,22,30,0,30
2922,昆明,广州,CZ3490,南方航空,JET,950,20,0,0,12,长水机场,白云机场,3,27,4,22,30,0,30
2923,昆明,广州,KY8285,昆明航空,B737,1493,159,0,7,90,长水机场,白云机场,12,17,5,22,35,0,35
2924,昆明,广州,HU7236,海南航空,B737,1357,159,0,1,33,长水机场,白云机场,9,11,0,22,45,0,50
2925,昆明,广州,HU7236,海南航空,B737,1086,159,0,1,79,长水机场,白云机场,1,5,0,22,45,0,50
2926,昆明,贵阳,CZ3858,南方航空,B737,674,159,0,4,89,长水机场,龙洞堡机场,2,25,0,12,35,13,40
2927,昆明,哈尔滨,HO1652,吉祥航空,A320,5241,158,0,3,75,长水机场,太平机场,9,24,1,7,25,13,55
2928,昆明,哈尔滨,MU4028,东方航空,A320,3494,158,0,6,147,长水机场,太平机场,8,8,4,7,25,13,55
2929,昆明,哈尔滨,CA5705,中国国航,B737,4892,159,0,9,147,长水机场,太平机场,9,27,5,9,0,15,10
2930,昆明,哈尔滨,KY8205,昆明航空,B737,2446,159,0,5,146,长水机场,太平机场,6,5,2,9,0,15,10
2931,昆明,哈尔滨,ZH3105,深圳航空,B737,3145,159,0,11,29,长水机场,太平机场,2,26,6,9,0,15,10
2932,昆明,哈尔滨,CA4275,中国国航,A320,3843,158,0,4,61,长水机场,太平机场,3,20,4,15,40,20,10
2933,昆明,海口,HU7088,海南航空,B737,1360,159,0,9,88,长水机场,美兰机场,3,24,0,10,35,12,40
2934,昆明,海口,CZ3432,南方航空,JET,1360,20,0,0,19,长水机场,美兰机场,10,31,0,11,15,13,10
2935,昆明,海口,MF1272,厦门航空,JET,837,20,0,0,2,长水机场,美兰机场,11,26,4,11,15,13,10
2936,昆明,海口,MU3217,东方航空,JET,1464,20,0,0,0,长水机场,美兰机场,7,11,2,11,15,13,10
2937,昆明,杭州,MU556,东方航空,A320,1880,158,0,1,148,长水机场,萧山机场,7,28,6,7,10,9,55
2938,昆明,杭州,8L9873,祥鹏航空,B737,2089,159,0,4,13,长水机场,萧山机场,4,7,2,7,10,11,45
2939,昆明,杭州,MU556,东方航空,A320,2298,158,0,8,127,长水机场,萧山机场,7,9,4,7,15,9,55
2940,昆明,杭州,KY8235,昆明航空,B737,1462,159,0,4,22,长水机场,萧山机场,5,19,3,7,55,10,45
2941,昆明,杭州,CZ3541,南方航空,B737,3134,159,0,4,94,长水机场,萧山机场,8,11,1,8,10,12,40
2942,昆明,杭州,CA1752,中国国航,A320,1880,158,0,2,11,长水机场,萧山机场,2,22,3,12,30,15,20
2943,昆明,杭州,KY1752,昆明航空,A320,2925,158,0,2,123,长水机场,萧山机场,11,21,2,12,30,15,20
2944,昆明,杭州,ZH1752,深圳航空,A320,1880,158,0,6,125,长水机场,萧山机场,5,7,1,12,30,15,20
2945,昆明,杭州,JD5158,首都航空,A320,3134,158,0,1,57,长水机场,萧山机场,11,23,0,14,55,17,40
2946,昆明,杭州,CA5765,中国国航,B737,2925,159,0,8,17,长水机场,萧山机场,9,27,5,16,40,19,30
2947,昆明,杭州,KY8265,昆明航空,B737,3134,159,0,5,74,长水机场,萧山机场,9,25,0,16,40,19,30
2948,昆明,杭州,ZH3165,深圳航空,B737,1671,159,0,11,84,长水机场,萧山机场,11,2,0,16,40,19,30
2949,昆明,杭州,MU5548,东方航空,A320,1462,158,0,0,97,长水机场,萧山机场,7,28,6,16,50,21,40
2950,昆明,杭州,MU5548,东方航空,A320,2507,158,0,5,145,长水机场,萧山机场,1,28,5,17,10,21,40
2951,昆明,杭州,HO1048,吉祥航空,A320,2716,158,0,2,74,长水机场,萧山机场,2,17,1,19,55,0,20
2952,昆明,杭州,HO1020,吉祥航空,A320,2716,158,0,7,110,长水机场,萧山机场,9,9,2,19,55,23,50
2953,昆明,杭州,MU5656,东方航空,A320,2925,158,0,4,48,长水机场,萧山机场,3,21,3,21,15,0,15
2954,昆明,杭州,GJ8882,长龙航空,A320,2925,158,0,4,0,长水机场,萧山机场,6,28,0,22,20,1,10
2955,昆明,杭州,MU5646,东方航空,A320,2089,158,0,7,145,长水机场,萧山机场,3,27,4,22,50,1,40
2956,昆明,济南,SC1161,山东航空,B737,2288,159,0,7,137,长水机场,遥墙机场,11,8,1,6,40,9,35
2957,昆明,济南,SC8843,山东航空,B737,1872,159,0,3,115,长水机场,遥墙机场,11,7,2,6,45,10,0
2958,昆明,济南,CA5705,中国国航,B737,2912,159,0,10,54,长水机场,遥墙机场,9,25,0,9,0,11,55
2959,昆明,济南,KY8205,昆明航空,B737,2704,159,0,6,116,长水机场,遥墙机场,5,13,2,9,0,11,55
2960,昆明,济南,ZH3105,深圳航空,B737,3120,159,0,11,113,长水机场,遥墙机场,10,19,5,9,0,11,55
2961,昆明,济南,KY8275,昆明航空,B737,2912,159,0,3,50,长水机场,遥墙机场,8,8,4,12,30,15,35
2962,昆明,济南,SC8828,山东航空,B737,2080,159,0,11,19,长水机场,遥墙机场,4,18,5,22,55,1,50
2963,昆明,兰州,MU5094,东方航空,A320,2624,158,0,5,97,长水机场,中川机场,9,30,2,9,5,11,20
2964,昆明,兰州,MU2250,东方航空,A320,2449,158,0,3,9,长水机场,中川机场,3,22,2,10,30,13,0
2965,昆明,拉萨,TV9894,西藏航空,A319,2748,124,0,0,57,长水机场,贡嘎机场,4,4,5,7,10,10,15
2966,昆明,拉萨,MU9731,东方航空,B737,1374,159,0,7,73,长水机场,贡嘎机场,3,30,1,15,10,18,15
2967,昆明,南昌,8L9899,祥鹏航空,B737,1894,159,0,10,103,长水机场,昌北机场,11,13,3,7,5,9,20
2968,昆明,南昌,KY8307,昆明航空,B737,2186,159,0,0,41,长水机场,昌北机场,7,9,4,18,5,20,30
2969,昆明,南昌,MU5618,东方航空,A320,1894,158,0,1,85,长水机场,昌北机场,8,13,6,22,10,0,25
2970,昆明,南昌,MU5618,东方航空,A320,2040,158,0,2,61,长水机场,昌北机场,9,28,4,22,15,0,25
2971,昆明,南京,HO1652,吉祥航空,A320,2431,158,0,4,134,长水机场,禄口机场,6,2,5,7,25,10,10
2972,昆明,南京,MU4028,东方航空,A320,2805,158,0,5,68,长水机场,禄口机场,11,21,2,7,25,10,10
2973,昆明,南京,MU2818,东方航空,A320,1309,158,0,2,30,长水机场,禄口机场,7,16,4,7,45,10,35
2974,昆明,南京,MU5791,东方航空,A320,1870,158,0,4,71,长水机场,禄口机场,2,25,0,8,30,11,15
2975,昆明,南京,MU2730,东方航空,A319,2805,124,0,5,44,长水机场,禄口机场,9,13,5,10,5,13,0
2976,昆明,南京,BK2715,奥凯航空,B737,1683,159,0,6,37,长水机场,禄口机场,6,13,1,10,15,13,0
2977,昆明,南京,3U1034,四川航空,B737,2805,159,0,12,135,长水机场,禄口机场,11,8,1,13,35,16,30
2978,昆明,南京,CA4696,中国国航,B737,2244,159,0,1,128,长水机场,禄口机场,2,24,1,13,35,16,30
2979,昆明,南京,SC4696,山东航空,B737,1683,159,0,10,133,长水机场,禄口机场,7,31,3,13,35,16,30
2980,昆明,南京,MU2944,东方航空,A320,1870,158,0,3,119,长水机场,禄口机场,5,13,2,14,50,17,45
2981,昆明,南京,HO1682,吉祥航空,A320,2431,158,0,0,144,长水机场,禄口机场,6,19,2,14,55,20,5
2982,昆明,南京,MU2720,东方航空,A319,2805,124,0,2,28,长水机场,禄口机场,9,20,5,15,25,18,15
2983,昆明,南京,MU5789,东方航空,A320,2618,158,0,7,149,长水机场,禄口机场,7,22,5,16,10,18,55
2984,昆明,南京,CZ9573,南方航空,A320,2244,158,0,2,14,长水机场,禄口机场,1,28,5,16,10,19,5
2985,昆明,南京,MF3107,厦门航空,A320,1309,158,0,5,53,长水机场,禄口机场,11,6,3,16,10,19,5
2986,昆明,南京,MU5789,东方航空,A320,2057,158,0,2,77,长水机场,禄口机场,2,6,5,16,10,19,5
2987,昆明,南京,MU2706,东方航空,A320,1496,158,0,8,116,长水机场,禄口机场,6,25,3,20,40,0,55
2988,昆明,青岛,3U1030,四川航空,B737,2848,159,0,10,98,长水机场,流亭机场,5,2,6,6,45,10,10
2989,昆明,青岛,CA4860,中国国航,B737,3560,159,0,5,102,长水机场,流亭机场,7,30,4,6,45,10,10
2990,昆明,青岛,SC4860,山东航空,B737,3322,159,0,3,130,长水机场,流亭机场,11,8,1,6,45,10,10
2991,昆明,青岛,QW9858,青岛航空,A320,1898,158,0,4,112,长水机场,流亭机场,6,10,4,6,50,11,25
2992,昆明,青岛,CZ6426,南方航空,A320,3085,158,0,8,47,长水机场,流亭机场,8,1,4,7,55,11,20
2993,昆明,青岛,8L9869,祥鹏航空,JET,2373,20,0,0,9,长水机场,流亭机场,5,15,0,13,35,18,45
2994,昆明,青岛,8L9869,祥鹏航空,JET,1898,20,0,0,5,长水机场,流亭机场,11,12,4,13,35,18,45
2995,昆明,青岛,3U1034,四川航空,B737,2373,159,0,9,33,长水机场,流亭机场,8,16,3,13,35,18,55
2996,昆明,青岛,CA4696,中国国航,B737,2848,159,0,1,82,长水机场,流亭机场,4,13,3,13,35,18,55
2997,昆明,青岛,SC4696,山东航空,B737,2136,159,0,11,21,长水机场,流亭机场,8,9,3,13,35,18,55
2998,昆明,青岛,MU5480,东方航空,A320,2610,158,0,4,53,长水机场,流亭机场,10,7,3,19,50,1,15
2999,昆明,青岛,MU5498,东方航空,A320,3560,158,0,2,113,长水机场,流亭机场,9,9,2,20,25,23,55
3000,昆明,青岛,SC8830,山东航空,B737,3560,159,0,6,112,长水机场,流亭机场,1,28,5,22,5,1,30
3001,昆明,青岛,SC8830,山东航空,B737,2136,159,0,9,115,长水机场,流亭机场,3,25,6,22,55,1,55
3002,昆明,三亚,8L9965,祥鹏航空,B737,1456,159,0,5,140,长水机场,凤凰机场,9,4,0,8,0,10,15
3003,昆明,三亚,MU5745,东方航空,A320,849,158,0,5,45,长水机场,凤凰机场,1,3,2,18,55,21,5
3004,昆明,上海,QF4048,澳洲航空,B737,2042,159,0,6,33,长水机场,浦东机场,2,2,2,8,5,11,0
3005,昆明,上海,HO1094,吉祥航空,A320,1429,158,0,4,20,长水机场,虹桥机场,9,30,2,8,35,11,40
3006,昆明,上海,MU756,东方航空,A330,1838,311,9,16,131,长水机场,浦东机场,6,23,5,9,10,12,10
3007,昆明,上海,QF4050,澳洲航空,A330,2655,311,11,14,200,长水机场,浦东机场,5,16,6,9,10,12,10
3008,昆明,上海,MU5817,东方航空,B737,1838,159,0,4,33,长水机场,虹桥机场,11,10,6,9,30,14,0
3009,昆明,上海,MU5464,东方航空,A320,3063,158,0,6,9,长水机场,浦东机场,12,3,5,9,40,13,55
3010,昆明,上海,MU5464,东方航空,A320,1838,158,0,4,132,长水机场,浦东机场,4,12,4,9,40,14,10
3011,昆明,上海,MU5811,东方航空,B737,1429,159,0,1,71,长水机场,虹桥机场,1,28,5,12,0,15,0
3012,昆明,上海,CZ3678,南方航空,A320,1634,158,0,1,12,长水机场,浦东机场,4,9,0,12,20,15,15
3013,昆明,上海,MF1500,厦门航空,A320,2859,158,0,6,14,长水机场,浦东机场,6,28,0,12,20,15,15
3014,昆明,上海,HO1122,吉祥航空,A320,1429,158,0,7,119,长水机场,虹桥机场,1,5,0,12,50,15,50
